Clothing ID,Age,Title,Rating,Recommended IND,Positive Feedback Count,Division Name,Department Name,Class Name,Active Time,Price
1072,66,Navy print shirtdress,5,1,5,General,Dresses,Dresses,2.646142412982593,129.9535779015921
1121,27,Disappointed,2,0,1,General,Jackets,Outerwear,9.52317551233719,75.46231135595644
860,35,Beautiful color and flattering design,4,1,0,General,Tops,Knits,10.699384156487993,68.87265567306662
895,30,Cute!!,5,1,0,General,Tops,Fine gauge,10.90253969644921,32.188964273113704
426,29,So excited but then this,4,1,0,Initmates,Intimate,Lounge,11.592513479605856,121.32939144903395
872,47,,4,1,8,General,Tops,Knits,11.208701773040678,73.20593380546114
1081,58,Love it except...,4,1,0,General Petite,Dresses,Dresses,13.778516508622351,135.9262557984601
829,57,Its alright,2,0,1,General,Tops,Blouses,18.534349960298645,31.402610314739483
1025,34,Most comfortable jeans,5,1,2,General,Bottoms,Jeans,5.575352081226792,120.60070759480008
861,33,Staple with flair,5,1,0,General,Tops,Knits,10.35250726022541,65.35076241041983
872,50,Trendy,5,1,0,General Petite,Tops,Knits,13.08135047911828,85.62323284352573
825,38,"Beautiful color, short waist",3,0,10,General,Tops,Blouses,18.134204619612422,54.03962574885111
1095,22,So charming!,5,1,2,General,Dresses,Dresses,3.5429856256304486,96.83773289990835
875,54,Love this top!,5,1,0,General,Tops,Knits,10.484084217968801,91.10037182873926
850,61,Versatile and elegant,5,1,12,General,Tops,Blouses,6.70406112784567,75.31957937047594
864,67,Beautiful top,5,1,0,General,Tops,Knits,11.401795751635001,83.80379619133645
833,59,Love this top!,5,1,5,General,Tops,Blouses,7.809078058903103,45.882550559122286
873,24,,1,0,0,General,Tops,Knits,45.22629998955187,75.96635923805061
909,53,Cute and lightweight,5,1,1,General,Tops,Fine gauge,11.024401321158523,25.531993580156414
790,53,Perfect!,5,1,5,Initmates,Intimate,Lounge,7.8005477649998545,74.79754963190386
867,42,Just as pictured!!,5,1,0,General,Tops,Knits,11.33229557324146,64.01745566965201
872,59,Ugh,1,0,15,General Petite,Tops,Knits,14.318897934444106,65.14734368634474
895,65,Beautiful colors,4,1,0,General,Tops,Fine gauge,8.20885624568499,31.650878715221623
883,44,Cute styling but...,1,0,0,General Petite,Tops,Knits,36.51351312514434,89.3145768286288
868,56,Comfortable and flattering,5,1,0,General,Tops,Knits,12.142487842655056,42.95946579016662
1083,48,Fashion meets function,5,1,0,General,Dresses,Dresses,3.3037396792245466,130.288986687609
552,50,Unique jeans,5,1,1,General,Trend,Trend,1.8109325271304968,60.210770381550425
1150,37,Love,5,1,2,General,Dresses,Dresses,5.640036825226418,62.13477642475571
1037,61,Polished versatility,5,1,0,General Petite,Bottoms,Jeans,9.277398581327848,74.48344501840616
868,55,,5,1,2,General,Tops,Knits,10.206341792769617,107.34217029622398
1046,43,,5,1,2,General Petite,Bottoms,Pants,10.230439592384544,109.17354485534314
1081,42,Love it!,5,1,0,General Petite,Dresses,Dresses,12.77322813071556,89.69342159785157
845,38,"Cute, but massive sweep",4,1,10,General Petite,Tops,Blouses,9.94208393322906,77.09841350595282
872,26,Awesome top,4,1,0,General Petite,Tops,Knits,12.023180501621615,92.41907360091813
828,25,Staple top,5,1,1,General Petite,Tops,Blouses,9.310044049765292,48.61719791197724
1094,53,,5,1,1,General Petite,Dresses,Dresses,8.758090607829358,84.5882782773244
1059,31,Perfectly long,5,1,0,General,Bottoms,Pants,11.010020524947038,35.353118171197146
1093,42,,4,1,0,General,Dresses,Dresses,14.417076855139275,119.27426060870229
1095,39,,5,1,2,General Petite,Dresses,Dresses,7.130021560350205,111.79308207383306
315,40,,1,0,7,Initmates,Intimate,Swim,14.686809828855278,65.3945915866507
1094,30,Huge!!,2,0,0,General,Dresses,Dresses,23.180550088490854,145.89441263385964
132,37,,5,1,0,General,Bottoms,Shorts,7.44572350935245,57.71262079984847
872,38,"Lovely shape, beautiful color",5,1,0,General,Tops,Knits,13.01661984100376,84.3701222061304
823,33,Darling top,5,1,0,General,Tops,Blouses,9.740070518488189,24.90516911150434
875,41,"If you have a large chest, step away form this one",3,0,0,General,Tops,Knits,15.11480135705375,48.494370925565185
1110,51,Love this dress,5,1,0,General Petite,Dresses,Dresses,11.69797046853752,90.9944148890691
890,62,Dissapointed...,2,0,0,General,Tops,Fine gauge,13.654596919764098,56.84435978512364
1094,27,Perfect floral dress,5,1,4,General,Dresses,Dresses,4.226872572345645,90.4347294577516
1094,30,Fit and flattering,5,1,1,General Petite,Dresses,Dresses,11.210742429512349,139.9196146253615
829,33,,5,1,0,General Petite,Tops,Blouses,8.537627195075839,65.76557768040676
1004,39,Love the length as i am short,5,1,1,General Petite,Bottoms,Skirts,14.03805052280061,69.21650872403745
881,54,Loose & exotic,4,1,0,General Petite,Tops,Knits,13.345332595074689,101.17117765918644
1051,48,"Stylish, but run a little large",4,1,7,General,Bottoms,Pants,11.20828930299248,60.43386692110028
1078,39,Great dress!,5,1,0,General Petite,Dresses,Dresses,7.934391702975515,69.24003847481916
877,44,Easy wear!,5,1,8,General,Tops,Knits,12.01383373175723,77.24052920150885
985,43,Great transitional jacket,5,1,0,General Petite,Jackets,Jackets,12.470050264917159,67.77514216942664
1081,37,Perfect,5,1,1,General,Dresses,Dresses,8.512644217477808,59.63673004608492
1094,35,Gorgeous dress,5,1,0,General,Dresses,Dresses,11.91609593067566,45.83513842310226
1104,39,,2,0,1,General,Dresses,Dresses,14.30518971979028,141.65476205290716
850,63,Gorgeous arts and crafts aesthetic,5,1,0,General,Tops,Blouses,11.449774561205814,65.10283241950548
820,49,"Huge, size down!",4,1,0,General Petite,Tops,Blouses,9.635909117192847,26.126806717008108
820,32,,5,1,0,General,Tops,Blouses,7.7608388746368275,73.66344304101878
876,56,Pretty but...,4,1,0,General Petite,Tops,Knits,7.417517638687338,95.06330301865604
876,36,Classy meets simple,5,1,0,General,Tops,Knits,3.821186386676804,65.10264114621458
879,59,,5,1,1,General,Tops,Knits,13.476066342354839,78.29688883784767
949,44,Go to top,4,1,0,General Petite,Tops,Sweaters,9.421257574652547,50.86246399437842
834,62,Every color!,5,1,0,General Petite,Tops,Blouses,12.270973107960803,74.21382941495573
581,35,"Long on me, but i loooove it",5,1,3,Initmates,Intimate,Lounge,4.953704008351252,54.76633117443554
1035,46,Good for long lean legs,3,0,5,General Petite,Bottoms,Jeans,13.43257105061457,99.44773763623215
933,26,Comfy & gorgeous,5,1,0,General,Tops,Sweaters,5.686809069691037,64.03912681389356
158,25,Love these for fall!,5,1,1,Initmates,Intimate,Legwear,8.963659852562042,86.236591523913
828,52,Favorite everyday shirt!,5,1,2,General,Tops,Blouses,12.402840658927396,60.42589853867101
917,66,"Runs big, size down",4,1,0,General,Tops,Fine gauge,12.170001720792744,31.39389673127391
828,34,Beautiful but extremely see thru,2,0,20,General,Tops,Blouses,26.85229283669847,25.33204315536942
868,28,Lovely,4,1,0,General,Tops,Knits,15.477400179762062,103.7793405955085
282,43,New favorite shorts!,5,1,2,General,Bottoms,Shorts,11.650351145894868,39.18270007216067
1086,36,,5,1,5,General Petite,Dresses,Dresses,4.188755877046881,112.97004465654156
863,34,Maybe if it was $30,3,0,2,General Petite,Tops,Knits,4.521517184558254,57.53517182062092
820,48,Super-delicate fabric,2,0,1,General,Tops,Blouses,29.317314338756297,72.61355188891976
836,54,,4,1,0,General Petite,Tops,Blouses,2.854445770182462,59.344678202455384
774,39,??this,5,1,9,Initmates,Intimate,Lounge,12.675999501359716,148.76735682074732
1077,21,Vibrant colors,5,1,0,General Petite,Dresses,Dresses,4.117691765684448,51.65399656319725
1110,36,Fun and flowy,5,1,8,General,Dresses,Dresses,12.302726730399973,127.86796486292008
1081,31,Sexy!,4,1,3,General,Dresses,Dresses,12.235541333443367,84.30994202820655
1081,27,,5,1,0,General Petite,Dresses,Dresses,5.859496948746371,63.85839333797828
1027,47,Perfect !,5,1,1,General,Bottoms,Jeans,11.830865519260092,130.81703902169198
842,36,Gorgeous and unique,5,1,0,General,Tops,Blouses,3.8783080507846446,45.5137218290566
883,41,My favorite linen tee,4,1,1,General,Tops,Knits,7.021271316913303,84.29921894270309
960,34,A staple piece in your closest!,5,1,1,General,Jackets,Jackets,8.649143578530046,97.92744853904516
576,73,,2,1,1,General,Bottoms,Shorts,23.862765655574652,33.300707143598764
644,32,Pilled immediately,1,0,0,Initmates,Intimate,Intimates,42.99960581198032,78.77700829971711
1056,74,Not for me,4,1,0,General,Bottoms,Pants,14.734628000090678,68.88335971847097
903,32,More mustard yellow than the website pictures...,5,1,1,General Petite,Tops,Fine gauge,10.999120301603076,56.7426555634795
833,47,A beautiful work of art!,5,1,3,General,Tops,Blouses,10.940596789761225,74.40431945534559
1094,48,Get this dress before it's gone!,5,1,0,General,Dresses,Dresses,8.188505316434428,49.43609129195232
1022,45,Fabulous fit; distressing will get more pronounced,5,1,2,General,Bottoms,Jeans,5.206764896983294,62.25184308114874
936,27,"Love, love, love!",5,1,2,General Petite,Tops,Sweaters,5.096259387674942,57.55245756589821
1088,33,In love with this dress,4,1,1,General,Dresses,Dresses,14.3890290327886,71.25945378511923
937,35,Favorite new fall sweater!,5,1,17,General,Tops,Sweaters,6.076500231820245,82.17393869834149
859,46,Ooooo! love this so much more than i thought,5,1,1,General Petite,Tops,Knits,13.677753579386268,85.12153240814362
834,60,Spring blouse,5,1,3,General,Tops,Blouses,8.088610893876021,39.368543157509315
1087,30,I said yes!,4,1,0,General,Dresses,Dresses,7.6393155391331735,53.79553898820979
1078,24,"Loving it, just order a size down!",5,1,0,General,Dresses,Dresses,6.899257841421868,73.84466398646093
916,44,"Unique peplum sweater, soft, comfy, fabulous",5,1,0,General,Tops,Fine gauge,4.138130469634288,26.90764805114593
1094,54,Beautifully made but snug on top,4,1,1,General,Dresses,Dresses,12.421507416887646,42.06899798937695
1015,44,Chic and classy,5,1,1,General,Bottoms,Skirts,3.9759083351962725,46.636193487203805
868,65,,5,1,4,General,Tops,Knits,11.932727838347088,72.30258944392199
1092,43,Dream dress,5,1,0,General Petite,Dresses,Dresses,6.115010933803219,76.17761324715647
928,37,,5,1,0,General,Tops,Sweaters,13.497529543324307,63.069701969063644
