Clothing ID,Age,Title,Rating,Recommended IND,Positive Feedback Count,Division Name,Department Name,Class Name,Active Time,Price
892,39,So soft and figure-flattering,5,1,0,General,Tops,Fine gauge,10.76120366462436,38.46810848421382
867,28,"Great shirt, but don't expect it to last",3,1,0,General Petite,Tops,Knits,3.5937125828672483,47.80342951552357
997,49,Beautiful!,5,1,0,General Petite,Bottoms,Skirts,5.445432129450735,52.32264129906318
1077,26,So much better in person,5,1,5,General,Dresses,Dresses,4.960395048567458,73.03712399613934
1033,35,Nope!,2,0,0,General,Bottoms,Jeans,21.308399722048907,51.940232446848746
984,38,"On me, not flattering",3,1,14,General,Jackets,Jackets,4.6682635554625085,173.31182019649944
868,67,Pretty but.....,3,1,16,General,Tops,Knits,9.403285243368254,106.50637168694368
1078,36,Good fall dress,3,0,0,General Petite,Dresses,Dresses,6.851973278740138,149.16663413930632
839,48,Short top,4,1,2,General,Tops,Blouses,8.304467916993037,27.24856881028652
1086,51,Simple classic,4,1,10,General,Dresses,Dresses,4.9526850553364685,102.11300016948552
939,43,Classic retailer,5,1,14,General,Tops,Sweaters,11.673833005014147,93.7170200296746
862,48,Versatile piece,5,1,0,General,Tops,Knits,10.878359900281175,44.3355646407197
975,50,A no-brainer,5,1,4,General Petite,Jackets,Jackets,10.165173795003849,137.56604105581064
907,33,Great little sweater!,5,1,0,General,Tops,Fine gauge,10.014607279219726,42.129466234028335
860,52,New staple,5,1,0,General,Tops,Knits,6.0961982526833935,61.51168729293882
920,37,Love love love this too!,5,1,1,General,Tops,Fine gauge,10.782298605395178,54.91283182330322
375,49,Puts me right in the mood for spring!,5,1,12,Intimates,Intimates,Lounge,2.5284798777940383,97.38288136197596
1078,74,Bloomsbury,4,1,0,General,Dresses,Dresses,7.471448040628682,55.74697289950282
1009,40,Darker colors then pictures,3,1,0,General,Bottoms,Skirts,4.532849819381324,66.78385538580565
939,37,Flattering warmth,5,1,0,General Petite,Tops,Sweaters,4.20990022985209,57.79839055427996
1081,61,Let the sun shine,5,1,0,General,Dresses,Dresses,4.488150410294127,147.83049010742104
830,56,Adorable,4,1,3,General,Tops,Blouses,11.858295892086332,57.36487145143864
1080,33,Gorgeous!,5,1,0,General,Dresses,Dresses,10.228881778935246,78.260740045345
1020,31,Great skirt,5,1,0,General,Bottoms,Skirts,7.870203143886595,52.8048491949531
1033,55,Fun jeans!,5,1,0,General,Bottoms,Jeans,9.297082954165608,74.2677512865915
1081,53,Comfortable summer dress,5,1,4,General,Dresses,Dresses,6.672807716680543,95.18713322553492
862,21,Runs very large,4,1,0,General,Tops,Knits,13.471080029279875,86.2463821559614
1074,33,Had high hopes!,4,0,8,General,Dresses,Dresses,4.2213671384335205,134.9403512685417
868,28,Beautiful design but too big,3,1,0,General,Tops,Knits,10.289357399828829,42.17918585380262
863,48,"Cute, fun top",5,1,0,General,Tops,Knits,11.012948342351578,87.43732163980695
1022,35,Perfect high rise jeans,5,1,1,General,Bottoms,Jeans,8.745000812179436,79.58258522382887
829,20,Bee-utiful,5,1,6,General,Tops,Blouses,8.754241752813947,34.02360365149017
1083,31,An absolute hit - if you buy the right print,4,1,2,General Petite,Dresses,Dresses,7.145278779865222,141.4526484211733
1150,58,Love the dres,3,1,16,General,Dresses,Dresses,10.722859119222422,81.91871966362432
872,30,Middle seam off,4,0,3,General,Tops,Knits,5.160977831621972,65.38160972255916
850,39,Stiff and sturdy,4,1,0,General,Tops,Blouses,8.83294894476757,74.6512103898197
872,33,High hopes that were dashed...,2,0,26,General Petite,Tops,Knits,29.32991161419485,81.15035214676423
854,48,Beautiful top,5,1,1,General,Tops,Knits,13.674033889171572,55.29768282295779
135,35,Great summer shorts,5,1,0,General Petite,Bottoms,Pants,10.624750214987316,41.37039609071508
895,73,Loving it!,5,1,0,General,Tops,Fine gauge,9.94306241066664,46.313730011819466
1080,34,Great maxi,5,1,0,General,Dresses,Dresses,3.6678937945305368,99.05473392382676
872,51,Love this sweater,5,1,0,General,Tops,Knits,5.880420885994754,70.85336692429959
867,48,Super cute!,5,1,0,General Petite,Tops,Knits,7.704096629320105,82.64909065467069
1110,41,Cute but not for anyone bigger than a b cup,3,0,30,General,Dresses,Dresses,12.786440743989992,121.38285533190836
1081,35,"Wasn't for me, but was soft",4,0,2,General Petite,Dresses,Dresses,11.76393764610351,91.7316244900642
866,57,Classic!,4,1,2,General,Tops,Knits,3.798421909080596,104.31814201431222
1078,45,Nice styling but shapeless,1,0,1,General Petite,Dresses,Dresses,22.50276633460263,139.9279609863832
1072,54,Bare shouldered babe!,5,1,0,General,Dresses,Dresses,2.3275050950693585,146.2151798771675
863,44,Very soft and flattering,4,1,0,General Petite,Tops,Knits,6.459829957850442,109.14104294342954
1078,49,Tent-like but cozy,3,0,4,General Petite,Dresses,Dresses,11.837508973991405,101.4037301341367
877,49,Pretty but not super-soft,4,1,2,General Petite,Tops,Knits,8.835268242640574,35.44208833922842
1081,51,Romantic,5,1,8,General Petite,Dresses,Dresses,9.071593090094687,74.96434729180481
1072,36,Pretty dress but oddly cut in the middle,4,0,6,General,Dresses,Dresses,14.679034361592509,96.23354527822556
967,60,So cute and warm!!,5,1,0,General,Jackets,Jackets,12.1570739693396,169.26543878114694
835,38,Had me at first glance,3,1,9,General,Tops,Blouses,9.045512941616796,74.71908729811321
1059,55,A new staple!,5,1,11,General Petite,Bottoms,Pants,11.539945919117612,93.62944747847772
1095,31,Perfect summer dress,5,1,0,General,Dresses,Dresses,12.464628578345678,54.16979927271613
872,21,"Not true to size, but beautiful",5,1,0,General,Tops,Knits,4.721412153990285,46.16830843961103
1110,35,Excellent dress,5,1,0,General Petite,Dresses,Dresses,13.025550123756226,123.60480732779024
397,32,Great leggings!,5,1,1,Intimates,Intimates,Lounge,9.348937844919828,137.60996693334585
828,37,So soft!,5,1,2,General Petite,Tops,Blouses,3.2321161444977555,48.741222564317226
829,48,Love it!,5,1,0,General,Tops,Blouses,10.973990921435616,20.906827756137
883,44,Not too bad..,3,0,5,General,Tops,Knits,18.488418479528168,90.45399695227036
611,39,Amazing,5,1,0,General Petite,Bottoms,Pants,2.6923767065205366,72.16157749634033
844,52,"Exquisite blouse, runs huge",5,1,1,General Petite,Tops,Blouses,13.466141167836964,31.28503650727769
1081,47,"Love this dress. if they make more, i'll buy more",5,1,0,General,Dresses,Dresses,4.976652642371949,71.02952290296061
873,34,Great tank just not for me,3,1,0,General,Tops,Knits,11.770610932695098,105.0264055523172
1077,54,Cute but thin,3,1,0,General Petite,Dresses,Dresses,11.933248050256742,106.43693458755467
881,48,Disappointing,1,0,21,General,Tops,Knits,45.765664868416565,91.82291973886488
482,64,Great summer dress,5,1,9,Intimates,Intimates,Lounge,12.777792892769096,91.8940553530968
850,42,Cute blouse,4,1,0,General Petite,Tops,Blouses,13.774683522111731,75.89941714557898
1056,60,So cute!,4,1,0,General,Bottoms,Pants,3.1744232001164514,87.06787571432237
1033,64,Love these jeans,5,1,1,General Petite,Bottoms,Jeans,10.572501403380766,54.768853076174096
1022,30,Must get,5,1,0,General,Bottoms,Jeans,6.956645653481232,134.773773806159
936,42,Cute!,5,1,0,General Petite,Tops,Sweaters,8.178854052486411,62.18773267638995
875,39,Scratchy and prickly,2,0,1,General,Tops,Knits,17.294521357460972,40.87311792643322
898,44,Bohemian *light*,4,1,0,General Petite,Tops,Fine gauge,6.993658236895449,27.77086248672053
1051,30,Not for me,4,1,0,General Petite,Bottoms,Pants,2.820543285931852,53.53436186213069
886,46,"Didn't fit well for me, but well-made",3,0,0,General,Tops,Knits,8.731900200256307,75.34653681690371
872,55,Well made,4,1,0,General,Tops,Knits,6.680563276966267,60.35398350506004
1070,22,Amazing!!,5,1,1,General Petite,Bottoms,Pants,4.440578843224798,65.11053356855584
886,42,Great color!,5,1,0,General Petite,Tops,Knits,12.0237196330915,98.60926939031894
959,38,Debating if i should keep it,4,1,2,General,Jackets,Jackets,13.362136089927528,81.95078760329079
862,35,Pleated back tee,5,1,3,General,Tops,Knits,3.783100426233677,106.56008454067695
1003,27,Big and beautiful,3,1,1,General,Bottoms,Skirts,7.819913080305251,52.13889447678245
