datasetNo,indexOfdf,Id,ColumnName,Original,Modified,ErrorType,Fixing
dataset1,1374,877.0,Positive Review Count,2.5,2,Invalid Format,Rounded non-integer review count to nearest integer.
dataset1,2221,1066.0,Positive Review Count,1.5,2,Invalid Format,Rounded non-integer review count to nearest integer.
dataset1,3381,1100.0,Positive Review Count,0.5,0,Invalid Format,Rounded non-integer review count to nearest integer.
dataset1,3430,883.0,Positive Review Count,0.5,0,Invalid Format,Rounded non-integer review count to nearest integer.
dataset1,4125,936.0,Positive Review Count,0.5,0,Invalid Format,Rounded non-integer review count to nearest integer.
dataset1,4720,984.0,Positive Review Count,4.5,4,Invalid Format,Rounded non-integer review count to nearest integer.
dataset1,1107,854.0,Customer Rating,4.25,4,Invalid Format,Rounded rating to nearest valid integer between 1 and 5.
dataset1,1238,829.0,Customer Rating,5.25,5,Invalid Format,Rounded rating to nearest valid integer between 1 and 5.
dataset1,1653,829.0,Customer Rating,4.25,4,Invalid Format,Rounded rating to nearest valid integer between 1 and 5.
dataset1,3173,1098.0,Customer Rating,5.25,5,Invalid Format,Rounded rating to nearest valid integer between 1 and 5.
dataset1,4011,200.0,Customer Rating,4.25,4,Invalid Format,Rounded rating to nearest valid integer between 1 and 5.
dataset1,971,862.0,Cost,-1.0,71.8981197603569,Incorrect Value,Replaced invalid cost using median cost of the same category.
dataset1,1220,833.0,Cost,-1.0,49.51960252261286,Incorrect Value,Replaced invalid cost using median cost of the same category.
dataset1,2241,834.0,Cost,-1.0,49.51960252261286,Incorrect Value,Replaced invalid cost using median cost of the same category.
dataset1,3714,1082.0,Cost,-1.0,95.86263805736465,Incorrect Value,Replaced invalid cost using median cost of the same category.
dataset1,4457,1033.0,Cost,-1.0,87.591232391353,Incorrect Value,Replaced invalid cost using median cost of the same category.
dataset1,4842,834.0,Cost,-1.0,49.51960252261286,Incorrect Value,Replaced invalid cost using median cost of the same category.
dataset1,6337,1035.0,Cost,-1.0,87.591232391353,Incorrect Value,Replaced invalid cost using median cost of the same category.
dataset1,16,375.0,Section,Initmates,Intimates,Misspelling,Corrected inconsistent section label.
dataset1,59,397.0,Section,Initmates,Intimates,Misspelling,Corrected inconsistent section label.
dataset1,69,482.0,Section,Initmates,Intimates,Misspelling,Corrected inconsistent section label.
dataset1,105,755.0,Section,Initmates,Intimates,Misspelling,Corrected inconsistent section label.
dataset1,129,43.0,Section,Initmates,Intimates,Misspelling,Corrected inconsistent section label.
dataset1,143,642.0,Section,Initmates,Intimates,Misspelling,Corrected inconsistent section label.
